dep;sexe;jour;hosp;rea;hosp - rea;rad;dc;dc ehpad;hosp quot;rea quot;rad quot;dc quot;dc ehpad quot;lits réa;hosp off;rea off;rad off;dc off
1;0;02/03/2020;;;;;;;;;;;;;;;;3
1;0;03/03/2020;;;;;;;;;;;;;;;12;4
1;0;04/03/2020;;;;;;;;;;;;;;15;;4
1;0;05/03/2020;;;;;;;;;;;;;;23;;7
1;0;06/03/2020;;;;;;;;;;;;;;39;;9
1;0;07/03/2020;;;;;;;;;;;;;;45;;16
1;0;08/03/2020;;;;;;;;;;;;;;;;19
1;0;09/03/2020;;;;;;;;;;;;;;66;;25
1;0;10/03/2020;;;;;;;;;;;;;;86;;33
1;0;11/03/2020;;;;;;;;;;;;;;105;;48
1;0;12/03/2020;;;;;;;;;;;;;;129;;61
1;0;13/03/2020;;;;;;;;;;;;;;;;79
1;0;14/03/2020;;;;;;;;;;;;;;300;;91
1;0;15/03/2020;;;;;;;;;;;;;400;;;127
1;0;16/03/2020;;;;;;;;;;;;;;;;148
1;0;17/03/2020;;;;;;;;;;;;;2579;699;602;175
1;0;18/03/2020;2;0;2;1;0;;2;0;1;0;0;5000;3626;931;1000;264
1;1;18/03/2020;1;0;1;1;0;;1;0;1;0;0;;;;;
1;2;18/03/2020;1;0;1;0;0;;1;0;0;0;0;;;;;
2;0;18/03/2020;41;10;31;18;11;;41;10;18;11;0;;;;;
2;1;18/03/2020;19;4;15;11;6;;19;4;11;6;0;;;;;
2;2;18/03/2020;22;6;16;7;5;;22;6;7;5;0;;;;;
3;0;18/03/2020;4;0;4;1;0;;4;0;1;0;0;;;;;
3;1;18/03/2020;1;0;1;0;0;;1;0;0;0;0;;;;;
3;2;18/03/2020;3;0;3;1;0;;3;0;1;0;0;;;;;
4;0;18/03/2020;3;1;2;2;0;;3;1;2;0;0;;;;;
4;1;18/03/2020;3;1;2;0;0;;3;1;0;0;0;;;;;
4;2;18/03/2020;0;0;0;2;0;;0;0;2;0;0;;;;;
5;0;18/03/2020;8;1;7;9;0;;8;1;9;0;0;;;;;
5;1;18/03/2020;1;0;1;7;0;;1;0;7;0;0;;;;;
